type,comment_id,parent_comment_id,author,comment,published_at,like_count
top-level,UgzTjJvkj4CtJbo4KRZ4AaABAg,,@BurhanuddinHussain-s3z,Mozart Symphony 40,2025-06-18T04:53:43Z,0
top-level,UgxHuCm-e4o3WD-af0h4AaABAg,,@Sahwa__kouhei,"Sochti the 60's ka song kon he sunaga ,abb pta chla kon sunega",2025-06-18T04:22:31Z,0
top-level,UgxZTfC231KODIeO6gh4AaABAg,,@Shagun_Si_ngh,0:44 is gaane ke baare mein jitna bolo utna km hai kyuki ye explain krna bhi shyd humare bs me nhi h,2025-06-17T16:24:10Z,5
top-level,Ugzo2OEcfVE6eQLCw6N4AaABAg,,@nandinikushwah7116,Heart touching ❤️‍💙,2025-06-17T15:25:57Z,0
top-level,UgyEbO2l8B8qhVWoOEJ4AaABAg,,@AnkitaRoy-bi3ou,Hmari life ab aklaa wla hogyaa time k sth,2025-06-17T13:25:16Z,2
top-level,UgxVv63U118opwasWa54AaABAg,,@ShajanKhan-k2i,❤,2025-06-17T11:14:27Z,0
top-level,UgxGmXv4MZ9KrGCjKM94AaABAg,,@mibunofficial7554,*_Old is GOLD ❤_*,2025-06-17T09:08:50Z,0
top-level,UgyuLL9snao3hR72rep4AaABAg,,@yasirbhatofficial2984,"Anyone in 2025
My all tym fav song
Old is really 🥇 gold 
       Old songs❌ dil ka sakoon ✅",2025-06-17T07:06:39Z,0
top-level,UgyoS36uBzZStxQEqwx4AaABAg,,@rajbeeq8532,Din main 1000 bar dekh le ti hu iss song,2025-06-17T06:54:18Z,0
top-level,UgyVxDfNZDrGxKauPhV4AaABAg,,@studybyana6225,Main to khud sunti hun 😅❤,2025-06-17T06:25:35Z,0
top-level,UgzffkqAxelAolpGc-F4AaABAg,,@sushilgautam5790,😊😊😊😊😊😊😊😊😊😊😊😊☺️,2025-06-17T06:06:23Z,0
top-level,UgwPzpkI3Bn1paJEJ3Z4AaABAg,,@syedaleemaleem5955,18 /06 / 2025       old is gold,2025-06-17T05:56:42Z,0
top-level,UgzJTWbYfJiBZcfJ2np4AaABAg,,@jyoshine9063,Bhai addicted hogyi h iss song ka🙇🏼‍♀️😘,2025-06-17T05:45:27Z,6
reply,UgzJTWbYfJiBZcfJ2np4AaABAg.AJSu_MkA-BfAJTS3myDfxv,UgzJTWbYfJiBZcfJ2np4AaABAg,@aryanpal1156,Make me addicted with you,2025-06-17T10:46:50Z,0
reply,UgzJTWbYfJiBZcfJ2np4AaABAg.AJSu_MkA-BfAJTUA8mmvva,UgzJTWbYfJiBZcfJ2np4AaABAg,@jyoshine9063,🙈♥️​@@aryanpal1156,2025-06-17T11:05:10Z,0
top-level,UgwPuz77lQAa0BNeY014AaABAg,,@washim-Yawatmal,Jay hind jay bharat vande matram inqilab jindabad,2025-06-17T02:07:04Z,0
top-level,UgwTPoz8GrIudr8d_np4AaABAg,,@sushilgautam5790,Lyrics ❤❤❤❤❤❤❤😊,2025-06-16T19:35:18Z,0
top-level,UgwGf4v6CoMeLgZqzVJ4AaABAg,,@sushilgautam5790,जल की धारा को तो सागर मिला और बादल तो धरती के चक्कर में था😅,2025-06-16T19:32:05Z,0
top-level,UgzZxNsbtpwWZ5Ur9eJ4AaABAg,,@RaginiSingh-y2o,My heart fullfil with lovely feelings after listen this ke baad,2025-06-16T15:31:46Z,0
top-level,UgyFQ5AmNIN-pZYnLiZ4AaABAg,,@LaxmiGiri-c6w,Waaw❤❤,2025-06-16T13:35:04Z,0
top-level,Ugx-S-e4q6TQSiSqtnB4AaABAg,,@MinhaR-k2c,2025 ❤❤❤,2025-06-16T12:39:45Z,0
top-level,Ugx0iH1Bbe2xBkGywLl4AaABAg,,@me_and_meme5849,"Aaj kal ke songs me music kano ko chubhte , but songs of that time is peaceful for ears.",2025-06-16T09:50:35Z,1
top-level,UgyMvKQQzKvuadlyGG14AaABAg,,@RadhaRadha-j5u,"Gorgeous song,,,,,",2025-06-16T09:44:16Z,0
top-level,UgwziLZB7pkDe-VfdLp4AaABAg,,@aftabkhanin,Lag rha hai papa mummy banne ke age group mein entry ho gyi hai 😂,2025-06-16T08:33:42Z,11
reply,UgwziLZB7pkDe-VfdLp4AaABAg.AJQd1nCYmoGAJSh6_jo4Ou,UgwziLZB7pkDe-VfdLp4AaABAg,@BiponDas-n4h,Are bhai 22 ka hu abhi sa ye feel ho raha ha😂,2025-06-17T03:47:47Z,1
top-level,UgyDZfcmTYkaEgdZyyt4AaABAg,,@FawazKhan-c4j,I'm 17 🙄,2025-06-16T04:54:26Z,0
top-level,UgymFKBHpc1BNhqDcFt4AaABAg,,@MaishaKhan-s2i,I'm just 17 and I fell in love with this song,2025-06-16T04:48:41Z,0
top-level,UgxG5p7Kaavlcgok08l4AaABAg,,@NandniSahu-e5f,Masterpiece 🖤❣️😊,2025-06-16T04:10:16Z,0
top-level,UgxOZuTsjoFrLCZkUdh4AaABAg,,@m.shariq,Such a Masterpiece ❤,2025-06-15T20:15:15Z,1
top-level,UgxNQWINUQSsLIQdwI94AaABAg,,@gitanjalighosh3545,Kon kon 20025 may sun raha ha 😂❤,2025-06-15T17:06:06Z,0
top-level,UgzUtesNI0yMNbGqcq14AaABAg,,@teamxreflex554,Who watch stairy faith video at instagram,2025-06-15T14:38:08Z,0
top-level,UgxlJCMGLUs4AOTTjB14AaABAg,,@vikashkumar7794,😍,2025-06-15T14:03:01Z,0
top-level,Ugzkh7_j_4hdq2YhG714AaABAg,,@tecnospeark5991,Ak bar pher toot gay me😢,2025-06-15T09:50:10Z,0
top-level,UgxeLbm35f9fpV5pf_B4AaABAg,,@NovoJod,1:21 ❤️,2025-06-15T09:49:48Z,1
top-level,UgwQjgUHUjnlUw-2Ajp4AaABAg,,@RadhaRaghav-h6d,❤,2025-06-15T07:51:58Z,0
top-level,UgydztSv8S2TyceS_dt4AaABAg,,@itztoxicgamer536,Anyone in 2026🎉,2025-06-15T05:37:25Z,9
reply,UgydztSv8S2TyceS_dt4AaABAg.AJNk3qLEkG7AJcuhvq5tmf,UgydztSv8S2TyceS_dt4AaABAg,@Ltd_suraj,"I'm here from 3016,",2025-06-21T12:18:15Z,2
reply,UgydztSv8S2TyceS_dt4AaABAg.AJNk3qLEkG7AJpqv5WJYmm,UgydztSv8S2TyceS_dt4AaABAg,@SaadMusarats,😂😂😂😂😃😃😃​@@Ltd_suraj,2025-06-26T12:55:14Z,0
reply,UgydztSv8S2TyceS_dt4AaABAg.AJNk3qLEkG7AJpqwDsB6yX,UgydztSv8S2TyceS_dt4AaABAg,@SaadMusarats,​@@Ltd_surajGood😂😂😂,2025-06-26T12:55:23Z,0
top-level,UgwhbkTrWvpkj6Bj3Xx4AaABAg,,@onlymovies1765,"The pinnacle of truth and loyalty, a wonderful bond of love with each other 💗",2025-06-15T05:31:13Z,0
top-level,UgzwICRUPkqyW-scYaN4AaABAg,,@onlymovies1765,amazing bond with each other 💗,2025-06-15T05:21:46Z,0
top-level,UgzXf3dpdPX9GnN8zJ54AaABAg,,@veer1556,"This was My father's favourite song.
Miss you a lot papa😢",2025-06-15T02:59:09Z,1
top-level,UgzY4AX91ilD7UzoCn14AaABAg,,@BlackNawab-m6l,Gen Z is here 👀,2025-06-14T21:16:47Z,0
top-level,Ugy5EWBMB26w_N9JOUh4AaABAg,,@kaifttchannel3818,😊hamare liy,2025-06-14T20:09:43Z,0
top-level,Ugziv-mFS1FhOFfNtnd4AaABAg,,@NotAkAffanYT,Sukoon.....,2025-06-14T18:27:16Z,0
top-level,Ugw146bji_pyml_JOg54AaABAg,,@ANJALI-m3g9s,song ❤,2025-06-14T16:23:44Z,0
top-level,Ugy8tAxeq-heWptLvSF4AaABAg,,@abdulahad-lp8mv,Kon loog reel dekh kar ayaaa hain ❤,2025-06-14T06:07:30Z,4
top-level,UgyeO0phZYk92RqKKIR4AaABAg,,@sumitkothawade8810,2025 june,2025-06-14T04:29:16Z,1
top-level,UgyRTKF-8RZcC1CGzcZ4AaABAg,,@freepalestine956,0:22,2025-06-13T22:49:01Z,0
top-level,UgxgHq3a0ISOrHdmA014AaABAg,,@indranighosh7851,Er bangla version ki?,2025-06-13T20:38:28Z,0
top-level,UgzWMGEc5pDOeWp_EZd4AaABAg,,@HuriyaHaiderHuriyaHaider,Heal ❤,2025-06-13T20:13:23Z,0
top-level,Ugznu7pgGp7MVF9wFip4AaABAg,,@BLACKOGAME,Lekin hum khud ke liye sun rahe h papa mummy ke liye nhi😅,2025-06-13T20:12:02Z,12
top-level,Ugyz10pxJxmK_gVA_I54AaABAg,,@as.sad_line,Ammi log ke liye nahi khud ke liye sun rahi 😢😂,2025-06-13T16:05:39Z,2
top-level,Ugz7U7laDM27YlqSx2Z4AaABAg,,@KhanawaiaslamAVK911,Anyone in 2034,2025-06-13T16:02:06Z,0
top-level,UgyU5vFz5U61E18XptN4AaABAg,,@AyeshaAsif-v4w,Bestt 🤝😭,2025-06-13T15:38:26Z,0
top-level,UgwemFC64t93zjgEmdx4AaABAg,,@Rohit_pundir2411,🤍,2025-06-13T14:46:59Z,0
top-level,UgwiBX40cyrlVVOZWaJ4AaABAg,,@DrNikitavlogs,Unconditional Love ❤,2025-06-13T09:03:57Z,2
top-level,Ugyny6VejhXXppvoVsh4AaABAg,,@अविनाश_पाण्डेय,❣,2025-06-13T08:10:23Z,1
top-level,UgwQRhL8RVbTUt00Vk94AaABAg,,@AaminaAanu,Old is gold❤,2025-06-13T03:08:36Z,0
top-level,UgyAQZJFB8K1m6_k9At4AaABAg,,@Exploriffyy,Feeling 💔💔💔,2025-06-12T20:14:36Z,1
top-level,UgygtrzjKWSqf5XNl-Z4AaABAg,,@ManishAnand-n6c,🤗🫂🥺feel like wow 😊,2025-06-12T19:56:43Z,0
top-level,UgwCrW7e-PLJnqhru4F4AaABAg,,@strawberries.and.cheesecakes,People who knew this masterpiece before it started trending on Instagram >>>>,2025-06-12T19:07:51Z,87
reply,UgwCrW7e-PLJnqhru4F4AaABAg.AJHTR1ppcOKAJXmPd7GONm,UgwCrW7e-PLJnqhru4F4AaABAg,@surajpathak07,😅,2025-06-19T03:10:17Z,1
top-level,Ugz5t_wWuLyWzq8ppJ54AaABAg,,@aakansha1513,Only teenagers nd genz😂❤,2025-06-12T18:20:48Z,7
reply,Ugz5t_wWuLyWzq8ppJ54AaABAg.AJHO2TElpNbAJcDJBWabWU,Ugz5t_wWuLyWzq8ppJ54AaABAg,@Anuragrao034,I'm 17😅,2025-06-21T05:50:16Z,1
top-level,Ugyxm3xl22nIrKoWpAx4AaABAg,,@ig_imaxyt,I love this song❤❤,2025-06-12T14:42:09Z,2
top-level,UgyIphRpStUPWr3WYXx4AaABAg,,@Scripture_ठाकरे,Papa mummy se jada tho me sunta hu 😂😂,2025-06-12T12:46:20Z,2
top-level,UgwwQ48h2y-vCEAdMzF4AaABAg,,@MaheboobGk-p4v,I am here 😊,2025-06-12T08:11:19Z,3
top-level,UgxODrcChD4lCx8ClPZ4AaABAg,,@AmirKhan-sd2kz,Old is gold ❤❤,2025-06-12T06:56:38Z,2
top-level,Ugwk1MlNgShMtvl9cip4AaABAg,,@ShadeelAnwar,Rajab family is here❤,2025-06-11T10:11:35Z,0
top-level,UgzjSW3NhrTvD9NAdTN4AaABAg,,@Krishna-k9l7y,2025 me sun rhe ho 😂😂,2025-06-11T08:54:47Z,2
top-level,UgxTybsMj9Ge3q8Ke354AaABAg,,@AadityaPatidar-nj8sl,"Vintage Bollywood - Reel Gold The Director's Cut, Vol. 08 • 2013
Itna Na Mujhse Tu Pyaar (From Chhaya)
Itana naa mujse too pyaar badha ki main ek baadal aavaara
इतना ना मुझसे तू प्यार बढ़ा कि मैं एक बादल आवारा
Kaise kisi kaa sahaara banoon ki main khud beghar bechaaraa
कैसे किसी का सहारा बनूँ कि मैं खुद बेघर, बेचारा
Isliye tujhse main pyaar karoon ki too ek baadal aavaara
इसलिए तुझसे मैं प्यार करूँ कि तू एक बादल आवारा
Janam-janam se hoon saath tere he naam mera jal kee dhara
जनम-जनम से हूँ साथ तेरे, हैे नाम मेरा जल की धारा
Itana naa mujse too pyaar badha ki main ek baadal aavaara
इतना ना मुझसे तू प्यार बढ़ा कि मैं एक बादल आवारा
Janam-janam se hoon saath tere he naam mera jal kee dhara
जनम-जनम से हूँ साथ तेरे, हैे नाम मेरा जल की धारा
Muje ek jagah aaraam nahin
मुझे एक जगह आराम नहीं
Ruk jaanaa mera kaam nahin
रुक जाना मेरा काम नहीं
Muje ek jagah aaraam nahin
मुझे एक जगह आराम नहीं
Ruk jaanaa mera kaam nahin
रुक जाना मेरा काम नहीं
Mera saath kahaan tak dogi tum
मेरा साथ कहाँ तक दोगी तुम
Mai des-vides kaa banjaaraa
मै देस-विदेस का बंजारा
Itana naa mujse too pyaar badha ki main ek baadal aavaara
इतना ना मुझसे तू प्यार बढ़ा कि मैं एक बादल आवारा
Kaise kisi kaa sahaara banoon ke main khud beghar bechaaraa
कैसे किसी का सहारा बनूँ के मैं खुद बेघर, बेचारा
Isliye tujhse main pyaar karoon ki too ek baadal aavaara
इसलिए तुझसे मैं प्यार करूँ कि तू एक बादल आवारा
Janam-janam se hoon saath tere he naam mera jal kee dhara
जनम-जनम से हूँ साथ तेरे, हैे नाम मेरा जल की धारा
O nil gagan ke deewaane
ओ, नील गगन के दीवाने
Tu pyaar naa meraa pahachaane
तू प्यार ना मेरा पहचाने
O nil gagan ke deewaane
ओ, नील गगन के दीवाने
Tu pyaar naa meraa pahachaane
तू प्यार ना मेरा पहचाने
Main tab tak saath chaluun tere
मैं तब तक साथ चलूँ तेरे
Jab tak naa kahe too main haara
जब तक ना कहे तू ""मैं हारा""
Isliye tujhse main pyaar karoon ki too ek baadal aavaara
इसलिए तुझसे मैं प्यार करूँ कि तू एक बादल आवारा
Janam-janam se hoon saath tere he naam mera jal kee dhara
जनम-जनम से हूँ साथ तेरे, हैे नाम मेरा जल की धारा
Itana naa mujse too pyaar badha ki main ek baadal aavaara
इतना ना मुझसे तू प्यार बढ़ा कि मैं एक बादल आवारा
Kaise kisi kaa sahaara banoon ki main khud beghar bechaaraa
कैसे किसी का सहारा बनूँ कि मैं खुद बेघर, बेचारा
Kyun pyaar me tu nadaan bane
क्यूँ प्यार मे तू नादान बने
Ek paagal kaa armaan bane
एक पागल का अरमान बने
Kyun pyaar me tu nadaan bane
क्यूँ प्यार मे तू नादान बने
Ek paagal kaa armaan bane
एक पागल का अरमान बने
Ab laut ke jaanaa mushkil hai
अब लौट के जाना मुश्किल है
Maine chhod diya hai jag saara
मैने छोड़ दिया है जग सारा
Itana naa mujse too pyaar badha ki main ek baadal aavaara
इतना ना मुझसे तू प्यार बढ़ा कि मैं एक बादल आवारा
Janam-janam se hoon saath tere he naam mera jal kee dhara
जनम-जनम से हूँ साथ तेरे, हैे नाम मेरा जल की धारा",2025-06-11T08:49:09Z,17
top-level,UgyK0luDDer7z5BwFKl4AaABAg,,@feeltheline2.0,who is listen in 2025🤔,2025-06-11T06:13:41Z,22
reply,UgyK0luDDer7z5BwFKl4AaABAg.AJDW20iBae7AJGd1kgc7RI,UgyK0luDDer7z5BwFKl4AaABAg,@bgm-series,Bro is commenting form PC,2025-06-12T11:21:17Z,3
top-level,Ugy0k-FfFOUpfZQXpR14AaABAg,,@harishkantbhardwaj2829,काश वॉयस का इको और नोएज भी ठीक हो जाता।,2025-06-11T05:21:11Z,0
top-level,UgxBR91bUdt0QQu5U_x4AaABAg,,@FactuberYt,Virat kohli ❤,2025-06-11T02:09:09Z,0
top-level,Ugz9b8HxLO1DkHD8C6F4AaABAg,,@nishu_chhachhia,Who listen daily ❤•••••,2025-06-10T06:11:22Z,2
reply,Ugz9b8HxLO1DkHD8C6F4AaABAg.AJAvz2vNqu0AJBDYVAgArC,Ugz9b8HxLO1DkHD8C6F4AaABAg,@aditya6757sharma,Me also listen daily 😅,2025-06-10T08:53:37Z,2
reply,Ugz9b8HxLO1DkHD8C6F4AaABAg.AJAvz2vNqu0AJBV_4uOXvd,Ugz9b8HxLO1DkHD8C6F4AaABAg,@dranupamshri,Me,2025-06-10T11:31:07Z,1
top-level,UgxATG7oN9vvKT2yhId4AaABAg,,@Lubhi-fv8gi,Lgta hai mere liye hi bna hai 🥲,2025-06-09T18:58:23Z,2
top-level,UgyCYYKuD5zbdcjnGEp4AaABAg,,@apnahind,Reel wali Gen z generation finally realising and appriciating the real song 😊,2025-06-09T16:13:09Z,547
reply,UgyCYYKuD5zbdcjnGEp4AaABAg.AJ9R2qnixDFAJBvFfyx7P2,UgyCYYKuD5zbdcjnGEp4AaABAg,@MusicIslove-z5t,"Gen z nhi sun rhe hai bhai , humlog galat genration mein paida hone wala sun rhe hai, dil se millenial aur dob se gen-z",2025-06-10T15:24:16Z,27
reply,UgyCYYKuD5zbdcjnGEp4AaABAg.AJ9R2qnixDFAJC8T2mbzOT,UgyCYYKuD5zbdcjnGEp4AaABAg,@apnahind,"​@@MusicIslove-z5tmai to dil, dimag or dob dono se millennial hai😅😅 hume to yahi pasand aata.. hum honey singh ke lie internet pe fuddu ki tarah gaali galoz kr ladte nahi firte",2025-06-10T17:28:26Z,0
reply,UgyCYYKuD5zbdcjnGEp4AaABAg.AJ9R2qnixDFAJQwqzIvA5O,UgyCYYKuD5zbdcjnGEp4AaABAg,@SAURAV0623,​@@MusicIslove-z5t iss jaal me mat fas mere bhai. Millenials ne itne kaand kiye hain tu soch ni skta. Its a natural thing ki har generation k kch log apne next generations ko downgrade krte h.,2025-06-16T11:26:51Z,1
reply,UgyCYYKuD5zbdcjnGEp4AaABAg.AJ9R2qnixDFAJU7kS4f00E,UgyCYYKuD5zbdcjnGEp4AaABAg,@Ayush..91,​@@MusicIslove-z5t ha,2025-06-17T17:08:32Z,1
reply,UgyCYYKuD5zbdcjnGEp4AaABAg.AJ9R2qnixDFAJaQnHeNBBQ,UgyCYYKuD5zbdcjnGEp4AaABAg,@youtuberfactsyt91,Right 🥲,2025-06-20T13:09:38Z,1
top-level,UgwvaIJEFqKxjJ3pJW54AaABAg,,@latikachakraborty4774,Papa mummy ke liye best gift 😂😂😂😂,2025-06-09T16:05:41Z,21
top-level,UgySx6Q71M2XvjkrHh54AaABAg,,@sx.mobile_01,😊,2025-06-09T13:38:19Z,0
top-level,Ugx09BetKKsfd55wrYd4AaABAg,,@sahebkhan5555,"U could listen this song on a repeat mode, it will gives u same vibes ☺",2025-06-08T20:15:07Z,0
top-level,Ugw7XGJAfZe4fM50Bvl4AaABAg,,@affanansari4256,❤,2025-06-08T18:24:34Z,0
top-level,UgxMKMJJuzNkSZSQakR4AaABAg,,@shraddhadas309,Anyone in 2025❤,2025-06-08T16:16:12Z,0
top-level,UgzrEguj6OvjVrBGCcN4AaABAg,,@Dunning-KrugerPodcast,Thanks for not adding the creepy ahh lyrical video,2025-06-08T14:23:42Z,0
top-level,UgzXA94ddqAlrPKO44d4AaABAg,,@anaszahoor4628,Its a copy of a western song.... But the lyrics is so attractive,2025-06-08T11:00:52Z,0
top-level,UgyN018kHEidJyBWvm94AaABAg,,@gourab_123,Kon kon reels dekh kar aya hai😂,2025-06-08T08:45:28Z,1
top-level,Ugw5K_Oh9JDHjPBweqh4AaABAg,,@talent_xplorer,Anyone in 2025 😊,2025-06-08T05:30:59Z,20
